accuracy,loss,val_accuracy,val_loss
0.5955215096473694,0.6747153401374817,0.6729117631912231,0.6292668581008911
0.6713825464248657,0.6162348985671997,0.6967213153839111,0.5919382572174072
0.6819689869880676,0.5985838770866394,0.6998438835144043,0.583823025226593
0.6906527280807495,0.58998042345047,0.699063241481781,0.5790200233459473
0.6964582204818726,0.5806115865707397,0.6924278140068054,0.5754511952400208
0.7002634406089783,0.5759011507034302,0.7014051675796509,0.5729993581771851
0.7043613791465759,0.5691394805908203,0.6998438835144043,0.5719249248504639
0.7131915092468262,0.5620905160903931,0.7037470936775208,0.5700451135635376
0.7162650227546692,0.5538002848625183,0.7084308862686157,0.5682632327079773
0.7211435437202454,0.5480890274047852,0.7072599530220032,0.5676393508911133
0.7246072888374329,0.542278528213501,0.7053083777427673,0.5670909285545349
0.731290876865387,0.5345061421394348,0.7049180269241333,0.5660551190376282
0.7381207942962646,0.5256538391113281,0.7025761008262634,0.5686247944831848
0.7430481314659119,0.5195351243019104,0.6998438835144043,0.5698834657669067
