accuracy,loss,val_accuracy,val_loss
0.5364913940429688,0.6920437216758728,0.5515222549438477,0.6893786787986755
0.637671947479248,0.6544539332389832,0.6873536109924316,0.598791778087616
0.6778222322463989,0.6107176542282104,0.6967213153839111,0.5856120586395264
0.6851400136947632,0.6020404100418091,0.7021858096122742,0.5786780118942261
0.6935798525810242,0.5933296084403992,0.7072599530220032,0.5744429230690002
0.6989949941635132,0.5854754447937012,0.7021858096122742,0.5699663758277893
0.7029466032981873,0.5804672241210938,0.7064793109893799,0.5665463805198669
0.7116791605949402,0.5734151005744934,0.7060890197753906,0.5654060244560242
0.7138257622718811,0.5690855979919434,0.7088212370872498,0.5645474195480347
0.7180212736129761,0.5620310306549072,0.7135050892829895,0.5621272325515747
0.7230949401855469,0.5580875277519226,0.7166276574134827,0.5618047118186951
0.727046549320221,0.5521437525749207,0.7170179486274719,0.5617536306381226
0.7268025875091553,0.5478144288063049,0.7158470153808594,0.5613023042678833
0.7354863882064819,0.5411734580993652,0.7158470153808594,0.5619361400604248
0.7368523478507996,0.5387336015701294,0.7189695835113525,0.5628641843795776
