system,source,target,seed,k,n_shot_actual,macro_f1,accuracy,recall_class_0,recall_class_1,n_eval_clean,adapt_seconds,config_hash
fgm,ben_sarc_binary,banglasarc_binary,42,0,0,0.650987864807943,0.6767241379310345,0.738255033557047,0.5662650602409639,464,0.0,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,42,25,25,0.6692277227722773,0.709051724137931,0.8221476510067114,0.5060240963855421,464,2.650282144546509,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,42,50,50,0.7628424094288158,0.7823275862068966,0.8322147651006712,0.6927710843373494,464,2.8488690853118896,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,42,100,100,0.8370910867209086,0.8512931034482759,0.8926174496644296,0.7771084337349398,464,4.489400863647461,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,42,250,250,0.902027027027027,0.9094827586206896,0.9228187919463087,0.8855421686746988,464,5.204998731613159,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,42,500,500,0.9186720280441283,0.9267241379310345,0.9664429530201343,0.8554216867469879,464,9.338871002197266,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,42,1000,1000,0.924342172309072,0.9310344827586207,0.9563758389261745,0.8855421686746988,464,8.35163927078247,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,0,0,0.6583710841523341,0.6586599241466498,0.6868686868686869,0.6303797468354431,791,0.0,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,25,25,0.6676427620266584,0.6713021491782554,0.7752525252525253,0.5670886075949367,791,2.797794818878174,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,50,50,0.6917514613552718,0.6927939317319848,0.75,0.6354430379746835,791,4.282525539398193,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,100,100,0.7145846864400665,0.7155499367888748,0.7727272727272727,0.6582278481012658,791,4.538870573043823,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,250,250,0.6951830443159923,0.6978508217446271,0.7904040404040404,0.6050632911392405,791,4.5557332038879395,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,500,500,0.7368562472010748,0.7370417193426043,0.7626262626262627,0.7113924050632912,791,6.381710529327393,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,42,1000,1000,0.7368192055692055,0.7370417193426043,0.7651515151515151,0.7088607594936709,791,7.413973569869995,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,0,0,0.5933391761612621,0.6293103448275862,0.7214765100671141,0.463855421686747,464,0.0,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,25,25,0.6669342960903063,0.709051724137931,0.8288590604026845,0.4939759036144578,464,2.8598225116729736,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,50,50,0.7436689091162545,0.7693965517241379,0.8456375838926175,0.6325301204819277,464,2.8999671936035156,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,100,100,0.8693693693693694,0.8793103448275862,0.8993288590604027,0.8433734939759037,464,3.773775815963745,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,250,250,0.8752124868702142,0.8857758620689655,0.9161073825503355,0.8313253012048193,464,5.208406448364258,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,500,500,0.9196135580783891,0.9267241379310345,0.9530201342281879,0.8795180722891566,464,7.456522226333618,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,1,1000,1000,0.949991531817272,0.9547413793103449,0.9832214765100671,0.9036144578313253,464,8.425750255584717,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,0,0,0.6509803169243755,0.6510745891276865,0.6338383838383839,0.6683544303797468,791,0.0,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,25,25,0.7059171930954009,0.7079646017699115,0.7904040404040404,0.6253164556962025,791,2.557304859161377,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,50,50,0.7496803436944597,0.7496839443742098,0.7449494949494949,0.7544303797468355,791,3.854649066925049,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,100,100,0.7201488176711379,0.7206068268015171,0.6792929292929293,0.7620253164556962,791,5.384732246398926,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,250,250,0.74333657813007,0.7433628318584071,0.7525252525252525,0.7341772151898734,791,4.884318590164185,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,500,500,0.7446266462089246,0.7446270543615676,0.7449494949494949,0.7443037974683544,791,6.113145351409912,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,1,1000,1000,0.750933836280958,0.7509481668773704,0.7575757575757576,0.7443037974683544,791,9.473288536071777,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,0,0,0.5862493081606297,0.625,0.7248322147651006,0.4457831325301205,464,0.0,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,25,25,0.6615119031045524,0.7176724137931034,0.8758389261744967,0.43373493975903615,464,2.009491205215454,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,50,50,0.7601821763938286,0.7823275862068966,0.8456375838926175,0.6686746987951807,464,3.011347770690918,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,100,100,0.855663689285873,0.8642241379310345,0.8624161073825504,0.8674698795180723,464,4.286450147628784,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,250,250,0.9206885456885456,0.9267241379310345,0.9362416107382551,0.9096385542168675,464,3.5666403770446777,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,500,500,0.9529745616702139,0.9568965517241379,0.9697986577181208,0.9337349397590361,464,7.283202648162842,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc_binary,7,1000,1000,0.966899700385219,0.9698275862068966,0.9865771812080537,0.9397590361445783,464,8.182862281799316,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,7,0,0,0.648545582406342,0.6485461441213654,0.6464646464646465,0.6506329113924051,791,0.0,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,7,25,25,0.6852065842279642,0.6852085967130215,0.6818181818181818,0.6886075949367089,791,2.41447114944458,6970de89ef36b0ad
fgm,ben_sarc_binary,banglasarc3_binary,7,50,50,0.7030323450134771,0.7041719342604298,0.7651515151515151,0.6430379746835443,791,2.8446309566497803,6970de89ef36b0ad
