backbone,banglasarc3_binary,banglasarc3_ternary,banglasarc_binary,ben_sarc_binary,mean
banglabert,0.7365258721190925,0.6351135700096648,0.9742397860044918,0.798066356564008,0.7859863961743143
muril,0.7468151846872799,0.6187250810050906,0.9671706962076494,0.7971016081337172,0.7824531425084342
xlm-roberta,0.7291407980132874,0.6378479492348249,0.9327761319298384,0.7807160647192435,0.7701202359742985
sagorsarker-bb,0.7357758076451588,0.5942076211462795,0.9437211934988274,0.7510492751293172,0.7561884743548958
mbert,0.7285779339892505,0.5910314692292976,0.9420483895946884,0.7427566311844971,0.7511036059994334
