config,banglasarc3_binary,banglasarc3_ternary,banglasarc_binary,ben_sarc_binary,mean
fgm_awp,0.742078410311493,0.6573281566191617,0.9811898246680856,0.7993613713427954,0.7949894407353839
freelb_k3,0.7592710055228795,0.6431645908163591,0.9764872808351068,0.7983964497257903,0.7943298317250339
fgm_e05,0.752406589649377,0.6433828085091317,0.9788096675817344,0.7991166133776073,0.7934289197794626
awp,0.7471065924931262,0.6316159924952854,0.9695561107325812,0.7901976987356811,0.7846190986141686
