accuracy,loss,val_accuracy,val_loss
0.5665918588638306,0.6850321888923645,0.620608925819397,0.6732600927352905
0.6167430877685547,0.666896641254425,0.6580796241760254,0.6434023380279541
0.6444043517112732,0.6426324248313904,0.6733021140098572,0.6123064756393433
0.6546980142593384,0.6258487701416016,0.6857923269271851,0.5993708372116089
0.6610401272773743,0.6185401678085327,0.6889148950576782,0.5938565135002136
0.6653332114219666,0.6155043244361877,0.6912568211555481,0.5898908972740173
0.6704068779945374,0.6104465126991272,0.6920374631881714,0.5869685411453247
0.6728461384773254,0.6071454286575317,0.6928181052207947,0.5842214822769165
0.6726509928703308,0.6043071746826172,0.6959406733512878,0.5819454193115234
0.6771880388259888,0.600769579410553,0.6982825994491577,0.5794838666915894
0.6777734160423279,0.5989298820495605,0.698672890663147,0.5776516795158386
0.6856278777122498,0.5934915542602539,0.6982825994491577,0.5761498212814331
0.6821641325950623,0.5950128436088562,0.7056986689567566,0.5744792222976685
0.6807005405426025,0.5924694538116455,0.7049180269241333,0.573028564453125
0.6864084005355835,0.5904935598373413,0.7080405950546265,0.5716435313224792
0.6894819140434265,0.5871952176094055,0.7103825211524963,0.5702167749404907
0.6892379522323608,0.5857574939727783,0.7135050892829895,0.5690829157829285
0.6906527280807495,0.5836077928543091,0.7131147384643555,0.568531334400177
0.6936774253845215,0.5810868740081787,0.7138953804969788,0.5675698518753052
0.6964094042778015,0.5804086923599243,0.7154566645622253,0.5664417743682861
0.6970924139022827,0.5788222551345825,0.7138953804969788,0.565842866897583
0.6975314617156982,0.5765707492828369,0.7138953804969788,0.5646476149559021
0.6944580078125,0.5781182050704956,0.7123340964317322,0.5635598301887512
0.6997268199920654,0.5737496018409729,0.7127244472503662,0.5626456141471863
0.6999707221984863,0.5743221640586853,0.7154566645622253,0.5622904896736145
0.7021660804748535,0.5733312964439392,0.7150663733482361,0.5617209076881409
0.7021172642707825,0.5714899301528931,0.7154566645622253,0.5612562894821167
0.7009464502334595,0.5697900652885437,0.7154566645622253,0.5610355138778687
0.7043126225471497,0.5679886937141418,0.7177985906600952,0.5605826377868652
0.7061664462089539,0.5677371025085449,0.7166276574134827,0.5601838827133179
0.7046053409576416,0.5697896480560303,0.7201405167579651,0.5594974160194397
0.7076300382614136,0.5643174648284912,0.7220920920372009,0.5598069429397583
0.7063615918159485,0.5654957890510559,0.7189695835113525,0.5587589144706726
0.7129963636398315,0.560481071472168,0.7185792326927185,0.5591716766357422
0.7089959979057312,0.5614413022994995,0.7209211587905884,0.5575282573699951
0.7099717259407043,0.5591094493865967,0.7181889414787292,0.5575248599052429
0.7100692987442017,0.5607353448867798,0.719750165939331,0.5569432973861694
0.7120694518089294,0.5560449361801147,0.7209211587905884,0.5574402809143066
0.7141184210777283,0.5559293627738953,0.7185792326927185,0.5573387145996094
