accuracy,loss,val_accuracy,val_loss
0.5697628855705261,0.6861247420310974,0.6608118414878845,0.6303611993789673
0.6700653433799744,0.6163109540939331,0.6963309645652771,0.5889344215393066
0.6819689869880676,0.602279007434845,0.7006245255470276,0.5812668800354004
0.6896282434463501,0.5920414328575134,0.7021858096122742,0.5764548182487488
0.6970435976982117,0.5849902629852295,0.70413738489151,0.5715019702911377
0.7005561590194702,0.5799504518508911,0.7076502442359924,0.5691449046134949
0.7072397470474243,0.5735592842102051,0.7084308862686157,0.5673028230667114
0.7128987908363342,0.5676233768463135,0.7150663733482361,0.5643003582954407
0.7121670246124268,0.5651267170906067,0.7150663733482361,0.5642390251159668
0.7219240665435791,0.5566521286964417,0.7209211587905884,0.5633299350738525
0.7215825915336609,0.5504827499389648,0.714676022529602,0.5648568272590637
0.7318274974822998,0.543863832950592,0.7201405167579651,0.5645363926887512
