system,protocol,source,held_out_corpus,target,seed,held_out,n_removed_all_source,n_eval_clean,epochs_budget,best_epoch,val_macro_f1,test_macro_f1,test_accuracy,test_recall_class_1,temperature,ece,train_seconds,prediction_path
dann_matched,loco,banglasarc3_binary+banglasarc_binary,ben_sarc_binary,banglasarc3_binary,2024,False,0,791,8,2,0.827047294070171,0.7494336507448933,0.7496839443742098,0.7822784810126582,1.051085356726728,0.03809025663070959,80.6239218711853,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+banglasarc_binary_seed2024_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,ben_sarc_binary,42,False,0,2563,8,2,0.7730703661037863,0.7995743378983322,0.7998439328911432,0.7628705148205929,1.047537732582203,0.010896493704929282,218.81746816635132,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed42_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc_binary,42,True,28,436,8,2,0.7730703661037863,0.6084553744128213,0.6422018348623854,0.4578313253012048,1.047537732582203,0.15937120972961275,218.81746816635132,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed42_to_banglasarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc3_binary,42,False,0,791,8,2,0.7730703661037863,0.7258760107816712,0.7269279393173198,0.6658227848101266,1.047537732582203,0.040118686556147296,218.81746816635132,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed42_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,ben_sarc_binary,1,False,0,2563,8,1,0.7771687689969267,0.7888625374112732,0.7889192352711666,0.8049921996879875,1.11045471882656,0.024207257405923815,167.50790119171143,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed1_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc_binary,1,True,28,436,8,1,0.7771687689969267,0.5144989094248651,0.555045871559633,0.3493975903614458,1.11045471882656,0.24353828673209593,167.50790119171143,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed1_to_banglasarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc3_binary,1,False,0,791,8,1,0.7771687689969267,0.7215929452721036,0.7218710493046776,0.7544303797468355,1.11045471882656,0.08017361664081381,167.50790119171143,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed1_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,ben_sarc_binary,7,False,0,2563,8,1,0.7742063407230049,0.8026648700428375,0.8029652750682793,0.8416536661466458,1.122869273980346,0.027192599515916797,165.78059840202332,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed7_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc_binary,7,True,28,436,8,1,0.7742063407230049,0.5758470311975847,0.6009174311926605,0.46987951807228917,1.122869273980346,0.18884538650178787,165.78059840202332,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed7_to_banglasarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc3_binary,7,False,0,791,8,1,0.7742063407230049,0.7306362262884002,0.7307206068268015,0.7493670886075949,1.122869273980346,0.0756209201714331,165.78059840202332,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed7_to_banglasarc3_binary.csv
