held_out_corpus,mean,std,count,target,macro_f1_mean,delta_vs_pooled
banglasarc3_binary,0.6299544764464928,0.00873728335636828,5,banglasarc3_binary,0.6386494032148768,-0.008694926768384015
banglasarc_binary,0.5800303809202034,0.039314028456044925,5,banglasarc_binary,0.6207330308742962,-0.040702649954092784
ben_sarc_binary,0.4920335609370812,0.01312993821116777,5,ben_sarc_binary,0.508679453313323,-0.016645892376241755
