system,source,target,k,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,target_trained_ceiling,retention,recall_class_1_mean,target_only_mean,std,count,source_init_advantage
fgm,banglasarc3_binary,banglasarc_binary,25,3,0.7748284754892069,0.0361917473429912,0.6849231910614567,0.864733759916957,0.9802348799599624,0.790451851214328,0.7128514056224899,0.9021264752692356,0.019556297571386057,3,-0.12729799978002876
fgm,banglasarc3_binary,banglasarc_binary,50,3,0.7899619073338849,0.0678727908489184,0.6213565479864334,0.9585672666813364,0.9802348799599624,0.8058904283901334,0.6706827309236948,0.9189375493722549,0.013380922552343369,3,-0.12897564203836998
fgm,banglasarc3_binary,banglasarc_binary,100,3,0.9005711149409664,0.0117001905933416,0.8715062302537401,0.9296359996281928,0.9802348799599624,0.9187299221363662,0.8634538152610443,0.9470176195319736,0.007672653528348095,3,-0.04644650459100719
fgm,banglasarc3_binary,banglasarc_binary,250,3,0.9273701685204006,0.0098007347800763,0.9030237936506516,0.9517165433901495,0.9802348799599624,0.946069342643958,0.8935742971887549,0.9515157175075037,0.008253956303967684,3,-0.024145548987103194
fgm,banglasarc3_binary,ben_sarc_binary,25,3,0.7013514657349824,0.0048705264169633,0.6892524073866775,0.7134505240832874,0.7997501675192368,0.8769631995333248,0.7046281851274051,0.5836038437593744,0.030664330746872203,3,0.11774762197560806
fgm,banglasarc3_binary,ben_sarc_binary,50,3,0.7205263285911485,0.0060262774763659,0.7055562254508219,0.7354964317314752,0.7997501675192368,0.900939265603614,0.7446697867914717,0.6083935432623172,0.027505259034023424,3,0.11213278532883131
fgm,banglasarc3_binary,ben_sarc_binary,100,3,0.7070195416342763,0.015883524799498,0.6675626786848106,0.746476404583742,0.7997501675192368,0.884050507707171,0.656786271450858,0.6607209367173317,0.016700228527156368,3,0.0462986049169446
fgm,banglasarc3_binary,ben_sarc_binary,250,3,0.7284275489828586,0.0096282911786764,0.7045095477664918,0.7523455501992253,0.7997501675192368,0.9108188764028452,0.6648465938637546,0.7094767309132733,0.007154072073348682,3,0.018950818069585207
fgm,banglasarc_binary,banglasarc3_binary,25,3,0.5331543868277046,0.0201713111011286,0.4830460722265637,0.5832627014288454,0.7617231094637973,0.6999320096813263,0.3554987212276215,0.572256649717133,0.02829009069766879,3,-0.03910226288942842
fgm,banglasarc_binary,banglasarc3_binary,50,3,0.5835770491025708,0.0108336503425151,0.5566647697311455,0.6104893284739961,0.7617231094637973,0.7661275361769849,0.4765558397271952,0.613730949334224,0.0147170816828279,3,-0.030153900231653208
fgm,banglasarc_binary,banglasarc3_binary,100,3,0.6211317098805577,0.0254155030957311,0.557996100178127,0.6842673195829884,0.7617231094637973,0.8154297830320434,0.5268542199488492,0.6792932512070152,0.02611403382195303,3,-0.058161541326457566
fgm,banglasarc_binary,banglasarc3_binary,250,3,0.665286309514313,0.0153654535989257,0.6271164067715447,0.7034562122570813,0.7617231094637973,0.8733965154117886,0.5507246376811595,0.6925560000311055,0.019095576411980106,3,-0.02726969051679251
fgm,banglasarc_binary,ben_sarc_binary,25,3,0.5581793026605611,0.0066109199360036,0.5417568671383758,0.5746017381827465,0.7997501675192368,0.6979420890801313,0.4625585023400935,0.5836038437593744,0.030664330746872203,3,-0.025424541098813203
fgm,banglasarc_binary,ben_sarc_binary,50,3,0.5802672210724943,0.0115984979339312,0.5514549549555143,0.6090794871894742,0.7997501675192368,0.7255606121001992,0.4898595943837753,0.6083935432623172,0.027505259034023424,3,-0.028126322189822917
fgm,banglasarc_binary,ben_sarc_binary,100,3,0.6174055779703864,0.0071621153076745,0.5996138972389082,0.6351972587018646,0.7997501675192368,0.7719980602011386,0.4945397815912636,0.6607209367173317,0.016700228527156368,3,-0.043315358746945254
fgm,banglasarc_binary,ben_sarc_binary,250,3,0.656619958814118,0.0126365909810355,0.6252289266105524,0.6880109910176837,0.7997501675192368,0.8210313488909948,0.5491419656786272,0.7094767309132733,0.007154072073348682,3,-0.05285677209915529
fgm,ben_sarc_binary,banglasarc3_binary,25,3,0.6862555131166745,0.0191587631977943,0.6386625069471291,0.73384851928622,0.7617231094637973,0.9009251584867276,0.6270042194092827,0.572256649717133,0.02829009069766879,3,0.11399886339954157
fgm,ben_sarc_binary,banglasarc3_binary,50,3,0.7148213833544029,0.0307111530395674,0.6385306499184231,0.7911121167903827,0.7617231094637973,0.9384268042722111,0.6776371308016876,0.613730949334224,0.0147170816828279,3,0.10109043402017892
fgm,ben_sarc_binary,banglasarc3_binary,100,3,0.7105430010781367,0.0121421011895194,0.6803803496137368,0.7407056525425366,0.7617231094637973,0.9328100884037928,0.6658227848101266,0.6792932512070152,0.02611403382195303,3,0.0312497498711215
fgm,ben_sarc_binary,banglasarc3_binary,250,3,0.7189270259905562,0.0240836654753536,0.6590998843467922,0.7787541676343203,0.7617231094637973,0.9438167452955882,0.6658227848101266,0.6925560000311055,0.019095576411980106,3,0.026371025959450733
