system,source,target,in_domain,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,accuracy_std,ece_mean,ece_temperature_scaled_mean,brier_mean,recall_class_0_mean,recall_class_1_mean,n_eval_clean
fgm,banglasarc3_binary,banglasarc3_binary,True,10,0.7617231094637973,0.00852465887721567,0.7556249358647863,0.7678212830628083,0.7619469026548673,0.008533892079544064,0.07282853206808,0.03711544001567961,0.3402333587422674,0.7502525252525253,0.7736708860759494,791
fgm,banglasarc3_binary,banglasarc_binary,False,10,0.611250110159949,0.039237464030940215,0.5831813192919468,0.6393189010279512,0.6238532110091743,0.03603829892780634,0.17132439994434945,0.11814581398718835,0.526606798625342,0.6444444444444444,0.5903614457831325,436
fgm,banglasarc3_binary,ben_sarc_binary,False,10,0.6669885798662155,0.008923517159121179,0.6606050802407327,0.6733720794916983,0.6687475614514241,0.009111343419501613,0.127282196075256,0.0693532052936868,0.4637763008402825,0.6085870413739267,0.7288611544461778,2563
fgm,banglasarc_binary,banglasarc3_binary,False,10,0.3350976260630097,0.004719165146235019,0.331721738685151,0.3384735134408684,0.48595800524934385,0.0022348276070769646,0.5068065786692159,0.5065273966820192,1.0123503360920467,0.9881401617250674,0.00946291560102295,762
fgm,banglasarc_binary,banglasarc_binary,True,10,0.9802348799599623,0.004415015629419642,0.9770765680394105,0.9833931918805141,0.9818965517241379,0.004089152146769447,0.01385899922848044,0.011893279247991499,0.030794159727166474,0.9906040268456374,0.9662650602409638,464
fgm,banglasarc_binary,ben_sarc_binary,False,10,0.34582589096342253,0.005087433499131015,0.34218656027606276,0.3494652216507823,0.5,0.0015194851665428619,0.4920521295924183,0.4921612237330648,0.985586081484534,0.9857923497267759,0.01458658346333849,2563
fgm,ben_sarc_binary,banglasarc3_binary,False,10,0.6515879255271652,0.011170563523631154,0.6435969857667542,0.6595788652875761,0.6519595448798989,0.011005918349420881,0.17576745528294713,0.1428421127259543,0.5007476213715969,0.6752525252525252,0.6286075949367088,791
fgm,ben_sarc_binary,banglasarc_binary,False,10,0.5942871914942585,0.03298310240103578,0.5706925014107569,0.61788188157776,0.6351293103448276,0.024341684169109243,0.19353573069989788,0.164037688484316,0.5128596426059489,0.7392617449664429,0.4481927710843373,464
fgm,ben_sarc_binary,ben_sarc_binary,True,10,0.7997501675192368,0.004755975563626603,0.7963479475550846,0.8031523874833889,0.7998829496683574,0.004723197144268705,0.04585974789563449,0.019600648568390187,0.28820053685941155,0.8171740827478532,0.7826053042121686,2563
vanilla,banglasarc3_binary,banglasarc3_binary,True,10,0.7565898950984933,0.01008120297415586,0.7493782369302607,0.7638015532667258,0.7570164348925411,0.00986129569542604,0.10642780626226186,0.046896765227633794,0.3647194195520849,0.755050505050505,0.758987341772152,791
vanilla,banglasarc3_binary,banglasarc_binary,False,10,0.6278633072606159,0.03858788491704113,0.6002591972977273,0.6554674172235045,0.6394495412844037,0.03606748105417254,0.20377936631598598,0.11635883420378383,0.5414338755464668,0.6548148148148148,0.6144578313253012,436
vanilla,banglasarc3_binary,ben_sarc_binary,False,10,0.6727964250357603,0.008028133889221526,0.6670534440159067,0.6785394060556139,0.6743659773702692,0.008880448584053317,0.15713025444112225,0.06727272895013989,0.4808141957523788,0.6329430132708821,0.7157566302652106,2563
vanilla,banglasarc_binary,banglasarc3_binary,False,10,0.33653269619855436,0.004919249731978925,0.33301367693050193,0.3400517154666068,0.4862204724409449,0.0019806179217273633,0.505631786318002,0.504388176478088,1.010164712921925,0.9870619946091643,0.0109974424552429,762
vanilla,banglasarc_binary,banglasarc_binary,True,10,0.9749053320742022,0.00409563107875469,0.9719754940976345,0.9778351700507698,0.9769396551724137,0.0038081489312352247,0.020263369692768648,0.01202655181228846,0.040621325013094324,0.9825503355704697,0.9668674698795181,464
vanilla,banglasarc_binary,ben_sarc_binary,False,10,0.3466797627674948,0.003494354445127036,0.34418005218320213,0.34917947335178745,0.4990245805696449,0.001811469407879318,0.491458196015831,0.48991063556144276,0.9838199410038613,0.982279469164715,0.0161466458658346,2563
vanilla,ben_sarc_binary,banglasarc3_binary,False,10,0.6448245187152004,0.010793311877534248,0.6371034485251204,0.6525455889052805,0.64551201011378,0.010513251499039294,0.18908205904822356,0.14619936206046366,0.5199324843293189,0.6777777777777778,0.6131645569620252,791
vanilla,ben_sarc_binary,banglasarc_binary,False,10,0.5854811428901694,0.03448761882485561,0.5608101865927154,0.6101520991876234,0.6260775862068966,0.022745891090499376,0.21011518412070657,0.16811263209879299,0.5390413322218225,0.7271812080536912,0.44457831325301206,464
vanilla,ben_sarc_binary,ben_sarc_binary,True,10,0.7937209885959601,0.006862831278093796,0.7888116148465429,0.7986303623453772,0.7940694498634413,0.006625963235381604,0.05622953322355991,0.0273506529270048,0.2984021995110193,0.81935987509758,0.768798751950078,2563
