source,target,zero_shot,ceiling,best_k,best_f1,k_for_80_pct,k_for_90_pct,k_for_95_pct
banglasarc3_binary,banglasarc_binary,0.6396184160438145,0.9802348799599623,1000,0.9587495947528214,50,100.0,500.0
banglasarc3_binary,ben_sarc_binary,0.6733870900194145,0.7997501675192368,1000,0.7564671279602203,0,50.0,
banglasarc_binary,banglasarc3_binary,0.3349706571904109,0.7617231094637973,1000,0.7227968243847064,100,500.0,
banglasarc_binary,ben_sarc_binary,0.3476331057071002,0.7997501675192368,1000,0.7146791239132616,250,,
ben_sarc_binary,banglasarc3_binary,0.6526323278276839,0.7617231094637973,1000,0.7453565954879421,0,25.0,500.0
ben_sarc_binary,banglasarc_binary,0.6101921163766116,0.9802348799599623,1000,0.9470778015038542,100,250.0,1000.0
