system,source,target,in_domain,seeds,macro_f1_argmax,macro_f1_oracle_threshold,oracle_gain,oracle_threshold_mean,auroc,auprc,predicted_positive_rate
dannmatched,banglasarc3_binary+banglasarc_binary,banglasarc3_binary,False,5,0.7575445094518688,0.7664125912389996,0.008868081787130699,0.43499999999999994,0.832481779823552,0.818989245583435,0.46750948166877376
dannmatched,banglasarc3_binary+banglasarc_binary,banglasarc_binary,False,5,0.9138312095341504,0.9452352989321255,0.03140408939797516,0.8640000000000001,0.9757580658203283,0.9369965468788518,0.4081896551724138
dannmatched,banglasarc3_binary+banglasarc_binary,ben_sarc_binary,False,5,0.4920335609370812,0.5588149818743096,0.06678142093722832,0.044,0.5960617862653617,0.5986602249024127,0.15013655872024972
dannmatched,banglasarc3_binary+ben_sarc_binary,banglasarc3_binary,False,5,0.7313910640458772,0.7463170708262601,0.014926006780382894,0.441,0.8091458892724714,0.7838990377776298,0.49304677623261695
dannmatched,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,False,5,0.5800303809202035,0.6041522195432645,0.024121838623061033,0.344,0.6410285586791611,0.46809965208687443,0.3486238532110092
dannmatched,banglasarc3_binary+ben_sarc_binary,ben_sarc_binary,False,5,0.7971269448562672,0.8008139244570313,0.0036869796007638956,0.506,0.8763043449138432,0.8629035177741671,0.5078423722200546
dannmatched,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,False,5,0.6299544764464928,0.6440763180570073,0.014121841610514507,0.327,0.6980628838902254,0.7017744944871673,0.44908136482939637
dannmatched,banglasarc_binary+ben_sarc_binary,banglasarc_binary,False,5,0.8595608406761132,0.9406488568567907,0.08108801618067756,0.9190000000000002,0.9731482978895448,0.9663262419021124,0.45474137931034486
dannmatched,banglasarc_binary+ben_sarc_binary,ben_sarc_binary,False,5,0.7890351313347577,0.7985308998112282,0.009495768476470667,0.358,0.87136707013948,0.8537043565910112,0.48341786968396405
fgm,banglasarc3_binary,banglasarc3_binary,True,5,0.759524242762485,0.7679399508294604,0.008415708066975603,0.49399999999999994,0.8420822145505691,0.8169524666401603,0.5175726927939317
fgm,banglasarc3_binary,banglasarc_binary,False,5,0.6238043786684446,0.6342440629894506,0.010439684321006015,0.527,0.6548929049531459,0.4860425278143416,0.46055045871559636
fgm,banglasarc3_binary,ben_sarc_binary,False,5,0.6698859267187967,0.6748155516258161,0.0049296249070193586,0.529,0.7297932338839221,0.7045128511222591,0.5672259071400703
fgm,banglasarc_binary,banglasarc3_binary,False,5,0.3340533284733548,0.3627559896701321,0.028702661196777446,0.020999999999999998,0.5314646941631451,0.5447494525658089,0.010761154855643044
fgm,banglasarc_binary,banglasarc_binary,True,5,0.9816548303998989,0.9840198817626868,0.0023650513627881064,0.45099999999999996,0.998239265787984,0.9972355753234687,0.35301724137931034
fgm,banglasarc_binary,ben_sarc_binary,False,5,0.34601626012796693,0.37224327473531915,0.026227014607352207,0.01,0.4698730759534831,0.4886293835900747,0.015528677331252438
fgm,ben_sarc_binary,banglasarc3_binary,False,5,0.6490237832213607,0.6685526266745503,0.019528843453189615,0.271,0.7143901035673188,0.6677196236119582,0.4839443742098609
fgm,ben_sarc_binary,banglasarc_binary,False,5,0.5955841933018913,0.6453790938323238,0.04979490053043245,0.23000000000000004,0.6839007034850814,0.45111004308700825,0.331896551724138
fgm,ben_sarc_binary,ben_sarc_binary,True,5,0.7983979259160027,0.8011278278465174,0.002729901930514722,0.4640000000000001,0.8815178883501945,0.871232128397342,0.48864611783066714
vanilla,banglasarc3_binary,banglasarc3_binary,True,5,0.7605290962933047,0.7717778622861212,0.011248765992816568,0.438,0.8381364275668073,0.8123710748328706,0.5036662452591656
vanilla,banglasarc3_binary,banglasarc_binary,False,5,0.6414707328112773,0.6497697482000706,0.00829901538879323,0.48900000000000005,0.6725189647478804,0.5172451465953202,0.4555045871559633
vanilla,banglasarc3_binary,ben_sarc_binary,False,5,0.6675263229061242,0.6765448216580416,0.009018498751917469,0.508,0.7278357270122187,0.7047795969812751,0.5337495122902848
vanilla,banglasarc_binary,banglasarc3_binary,False,5,0.33736192693700234,0.3800076743470363,0.042645747410034004,0.015,0.5061491372594978,0.5194965169376891,0.012335958005249344
vanilla,banglasarc_binary,banglasarc_binary,True,5,0.9728044543601605,0.9755236068097035,0.0027191524495430164,0.667,0.9964461874343009,0.994687546676213,0.35775862068965514
vanilla,banglasarc_binary,ben_sarc_binary,False,5,0.34617593433125604,0.378867031600166,0.03269109726890999,0.015,0.4387771716957671,0.46954572318375387,0.017791650409676164
vanilla,ben_sarc_binary,banglasarc3_binary,False,5,0.6441097944931915,0.6598848210613876,0.015775026568196137,0.31,0.7058042449814603,0.6658553613325313,0.46700379266750947
vanilla,ben_sarc_binary,banglasarc_binary,False,5,0.59064185182486,0.6471261977690063,0.05648434594414631,0.188,0.680005255923021,0.44910508852817993,0.33836206896551724
vanilla,ben_sarc_binary,ben_sarc_binary,True,5,0.7914141078572111,0.7973580860813309,0.005943978224119828,0.403,0.878029730088501,0.8645555363251265,0.47850175575497456
