seed,val_macro_f1,test_macro_f1,test_accuracy,time_seconds
42,0.804366789819376,0.7992101075206091,0.7998439328911432,430.1
1,0.8029846310443152,0.792220128364364,0.7932110807647288,426.4
7,0.8025567316905899,0.8009234723206278,0.8014046039797112,427.3
123,0.7968084477250253,0.7932546642304097,0.7939914163090128,427.7
2024,0.7970617973095224,0.7946163351195282,0.795552087397581,428.1
