system,target,target_trained_ceiling,mean_single_source_transfer,best_single_source_transfer,loco_two_source,gain_vs_mean_single,gain_vs_best_single,retention_single_mean,retention_loco,gap_closed_fraction,loco_ci95_lo,loco_ci95_hi
vanilla,ben_sarc_binary,0.7937209885959601,0.5097380939016276,0.6727964250357603,0.5017854816928706,-0.007952612208756982,-0.1710109433428897,0.6422131973646313,0.6321937921542127,-0.02800384233464782,0.4803942665094425,0.5231766968762988
vanilla,banglasarc_binary,0.9749053320742022,0.6066722250753926,0.6278633072606159,0.5942174827806314,-0.01245474229476129,-0.03364582447998454,0.6222883444330342,0.609513009346639,-0.03382298347986824,0.5599796124486516,0.6284553531126111
vanilla,banglasarc3_binary,0.7565898950984933,0.4906786074568774,0.6448245187152004,0.6470233642033223,0.15634475674644488,0.002198845488121881,0.6485397315450541,0.8551837242276312,0.5879583305134448,0.6316959955989803,0.6623507328076643
fgm,ben_sarc_binary,0.7997501675192368,0.506407235414819,0.6669885798662155,0.508679453313323,0.0022722178985039587,-0.15830912655289253,0.6332067887971254,0.636047948437707,0.007745943910096135,0.496878977904445,0.520479928722201
fgm,banglasarc_binary,0.9802348799599623,0.6027686508271037,0.611250110159949,0.6207330308742962,0.017964380047192474,0.009482920714347198,0.614922671239493,0.6332492788867603,0.0475920192607998,0.5832056852152673,0.6582603765333251
fgm,banglasarc3_binary,0.7617231094637973,0.49334277579508745,0.6515879255271652,0.6386494032148768,0.1453066274197894,-0.012938522312288314,0.6476668091931308,0.8384272385597489,0.5414205483444875,0.6171206350620221,0.6601781713677316
