system,source,target,seed,in_domain_macro_f1,transfer_macro_f1,absolute_drop,relative_drop
fgm,banglasarc3_binary,ben_sarc_binary,1,0.7661053792486154,0.6733434632594297,0.0927619159891857,0.12108244962352985
fgm,banglasarc3_binary,banglasarc_binary,1,0.7661053792486154,0.6489476101699495,0.11715776907866593,0.15292644099898176
fgm,banglasarc3_binary,ben_sarc_binary,7,0.7521929824561404,0.6752562488898105,0.0769367335663299,0.10228323762754063
fgm,banglasarc3_binary,banglasarc_binary,7,0.7521929824561404,0.6698970321017566,0.08229595035438386,0.10940802729329166
fgm,banglasarc3_binary,ben_sarc_binary,42,0.7623995052566481,0.6715615579090033,0.09083794734764483,0.11914743742792155
fgm,banglasarc3_binary,banglasarc_binary,42,0.7623995052566481,0.6000106058597375,0.1623888993969106,0.21299712063984785
fgm,banglasarc3_binary,ben_sarc_binary,123,0.7482893771077961,0.6624206201886614,0.08586875691913465,0.1147534089699695
fgm,banglasarc3_binary,banglasarc_binary,123,0.7482893771077961,0.5544077891821798,0.19388158792561627,0.25909974651115
fgm,banglasarc3_binary,ben_sarc_binary,2024,0.768633969743225,0.667260931734486,0.10137303800873898,0.131887272745185
fgm,banglasarc3_binary,banglasarc_binary,2024,0.768633969743225,0.6457588560285993,0.12287511371462567,0.1598616748042949
fgm,banglasarc_binary,ben_sarc_binary,1,0.9835633353069476,0.3418673206772885,0.6416960146296591,0.6524196171153538
fgm,banglasarc_binary,banglasarc3_binary,1,0.9835633353069476,0.3340872873078702,0.6494760479990774,0.660329665294397
fgm,banglasarc_binary,ben_sarc_binary,7,0.9835633353069476,0.351595164227209,0.6319681710797387,0.6425292082309227
fgm,banglasarc_binary,banglasarc3_binary,7,0.9835633353069476,0.3316130866067245,0.6519502487002231,0.6628452132132033
fgm,banglasarc_binary,ben_sarc_binary,42,0.9789234612764024,0.349436832216803,0.6294866290595994,0.6430396797711049
fgm,banglasarc_binary,banglasarc3_binary,42,0.9789234612764024,0.3392115976566379,0.6397118636197645,0.6534850669383842
fgm,banglasarc_binary,ben_sarc_binary,123,0.9834730087977732,0.3454973131070887,0.6379756956906846,0.6486967003502874
fgm,banglasarc_binary,banglasarc3_binary,123,0.9834730087977732,0.336870855163919,0.6466021536338542,0.6574681235271317
fgm,banglasarc_binary,ben_sarc_binary,2024,0.9787510113114228,0.3416846704114455,0.6370663408999773,0.6508972491853426
fgm,banglasarc_binary,banglasarc3_binary,2024,0.9787510113114228,0.328483815631622,0.6502671956798008,0.6643846986257634
fgm,ben_sarc_binary,banglasarc_binary,1,0.8033099005884783,0.5933391761612621,0.2099707244272162,0.26138197011315134
fgm,ben_sarc_binary,banglasarc3_binary,1,0.8033099005884783,0.6509803169243755,0.15232958366410276,0.18962741969507801
fgm,ben_sarc_binary,banglasarc_binary,7,0.794728972531823,0.5862493081606297,0.20847966437119325,0.2623280031015167
fgm,ben_sarc_binary,banglasarc3_binary,7,0.794728972531823,0.648545582406342,0.14618339012548098,0.18394118646483273
fgm,ben_sarc_binary,banglasarc_binary,42,0.7993401010898598,0.650987864807943,0.14835223628191674,0.18559338644420062
fgm,ben_sarc_binary,banglasarc3_binary,42,0.7993401010898598,0.6583710841523341,0.14096901693752562,0.17635674320019915
fgm,ben_sarc_binary,banglasarc_binary,123,0.7993166252315491,0.5938993759548409,0.20541724927670824,0.2569910881275642
fgm,ben_sarc_binary,banglasarc3_binary,123,0.7993166252315491,0.6521164084627551,0.14720021676879402,0.18415758176699065
fgm,ben_sarc_binary,banglasarc_binary,2024,0.7952940301383026,0.553445241424781,0.24184878871352156,0.3040998417547077
fgm,ben_sarc_binary,banglasarc3_binary,2024,0.7952940301383026,0.6351055241609964,0.16018850597730616,0.20142048086221545
vanilla,banglasarc3_binary,ben_sarc_binary,1,0.7464339275847682,0.6702313380060057,0.07620258957876258,0.10208886113380569
