corpus,system,seeds,macro_f1_full,macro_f1_clean,n_full,n_clean,delta
banglasarc3_binary,fgm,5,0.759524242762485,0.7606294053333578,791,788,0.0011051625708727864
banglasarc3_binary,vanilla,5,0.7605290962933047,0.7611380960519712,791,788,0.000608999758666573
banglasarc_binary,fgm,5,0.9816548303998989,0.9798406159459144,464,439,-0.0018142144539844418
banglasarc_binary,vanilla,5,0.9728044543601605,0.970669142175512,464,439,-0.0021353121846484635
ben_sarc_binary,fgm,5,0.7983979259160026,0.7970156386686634,2563,2535,-0.0013822872473391312
ben_sarc_binary,vanilla,5,0.791412492388394,0.7898519506629211,2563,2535,-0.0015605417254728193
