target,k,mean,std,count
banglasarc3_binary,25,0.572256649717133,0.02829009069766879,3
banglasarc3_binary,50,0.613730949334224,0.0147170816828279,3
banglasarc3_binary,100,0.6792932512070152,0.02611403382195303,3
banglasarc3_binary,250,0.6925560000311055,0.019095576411980106,3
banglasarc_binary,25,0.9021264752692356,0.019556297571386057,3
banglasarc_binary,50,0.9189375493722549,0.013380922552343369,3
banglasarc_binary,100,0.9470176195319736,0.007672653528348095,3
banglasarc_binary,250,0.9515157175075037,0.008253956303967684,3
ben_sarc_binary,25,0.5836038437593744,0.030664330746872203,3
ben_sarc_binary,50,0.6083935432623172,0.027505259034023424,3
ben_sarc_binary,100,0.6607209367173317,0.016700228527156368,3
ben_sarc_binary,250,0.7094767309132733,0.007154072073348682,3
