system,source,target,k,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,target_trained_ceiling,retention,recall_class_1_mean
fgm,banglasarc3_binary,banglasarc_binary,0,3,0.6396184160438145,0.035865074104239975,0.5505246329278559,0.7287121991597731,0.9802348799599623,0.652515462487868,0.6666666666666666
fgm,banglasarc3_binary,banglasarc_binary,25,3,0.7748284754892069,0.036191747342991215,0.6849231910614567,0.864733759916957,0.9802348799599623,0.790451851214328,0.7128514056224899
fgm,banglasarc3_binary,banglasarc_binary,50,3,0.7899619073338849,0.06787279084891845,0.6213565479864334,0.9585672666813365,0.9802348799599623,0.8058904283901334,0.6706827309236948
fgm,banglasarc3_binary,banglasarc_binary,100,3,0.9005711149409664,0.011700190593341674,0.8715062302537401,0.9296359996281928,0.9802348799599623,0.9187299221363662,0.8634538152610443
fgm,banglasarc3_binary,banglasarc_binary,250,3,0.9273701685204006,0.009800734780076328,0.9030237936506516,0.9517165433901495,0.9802348799599623,0.9460693426439579,0.8935742971887549
fgm,banglasarc3_binary,banglasarc_binary,500,3,0.9424202507742673,0.0012688652308353258,0.9392682148032595,0.945572286745275,0.9802348799599623,0.9614228895963797,0.927710843373494
fgm,banglasarc3_binary,banglasarc_binary,1000,3,0.9587495947528214,0.00461953051657554,0.9472740447861568,0.970225144719486,0.9802348799599623,0.9780814928683027,0.9538152610441766
fgm,banglasarc3_binary,ben_sarc_binary,0,3,0.6733870900194145,0.0018477318072584615,0.6687970697558601,0.677977110282969,0.7997501675192368,0.8419968102141313,0.7516900676027042
fgm,banglasarc3_binary,ben_sarc_binary,25,3,0.7013514657349824,0.0048705264169633545,0.6892524073866775,0.7134505240832874,0.7997501675192368,0.8769631995333248,0.7046281851274051
fgm,banglasarc3_binary,ben_sarc_binary,50,3,0.7205263285911485,0.00602627747636593,0.7055562254508219,0.7354964317314752,0.7997501675192368,0.900939265603614,0.7446697867914717
fgm,banglasarc3_binary,ben_sarc_binary,100,3,0.7070195416342763,0.01588352479949805,0.6675626786848106,0.746476404583742,0.7997501675192368,0.884050507707171,0.656786271450858
fgm,banglasarc3_binary,ben_sarc_binary,250,3,0.7284275489828586,0.00962829117867643,0.7045095477664918,0.7523455501992253,0.7997501675192368,0.9108188764028453,0.6648465938637546
fgm,banglasarc3_binary,ben_sarc_binary,500,3,0.7469439949207103,0.005908996835254792,0.7322652330438224,0.7616227567975982,0.7997501675192368,0.9339716642231821,0.7134685387415497
fgm,banglasarc3_binary,ben_sarc_binary,1000,3,0.7564671279602203,0.005787808316063289,0.7420894150540835,0.7708448408663571,0.7997501675192368,0.9458792991650417,0.7314092563702549
fgm,banglasarc_binary,banglasarc3_binary,0,3,0.3349706571904109,0.003875512779742686,0.3253433497420011,0.34459796463882075,0.7617231094637973,0.4397538331562608,0.010230179028132934
fgm,banglasarc_binary,banglasarc3_binary,25,3,0.5331543868277046,0.020171311101128672,0.4830460722265637,0.5832627014288454,0.7617231094637973,0.6999320096813263,0.3554987212276215
fgm,banglasarc_binary,banglasarc3_binary,50,3,0.5835770491025708,0.01083365034251514,0.5566647697311455,0.6104893284739961,0.7617231094637973,0.7661275361769849,0.4765558397271952
fgm,banglasarc_binary,banglasarc3_binary,100,3,0.6211317098805577,0.025415503095731193,0.557996100178127,0.6842673195829884,0.7617231094637973,0.8154297830320434,0.5268542199488492
fgm,banglasarc_binary,banglasarc3_binary,250,3,0.665286309514313,0.015365453598925775,0.6271164067715447,0.7034562122570813,0.7617231094637973,0.8733965154117886,0.5507246376811595
fgm,banglasarc_binary,banglasarc3_binary,500,3,0.6961541628030039,0.0027420764768652035,0.689342467218404,0.7029658583876038,0.7617231094637973,0.9139202344708308,0.6231884057971014
fgm,banglasarc_binary,banglasarc3_binary,1000,3,0.7227968243847064,0.004577160332193162,0.7114265277909186,0.7341671209784941,0.7617231094637973,0.9488970669322446,0.6700767263427111
fgm,banglasarc_binary,ben_sarc_binary,0,3,0.3476331057071002,0.005108601278656039,0.3349426366166521,0.36032357479754834,0.7997501675192368,0.4346771277153105,0.016640665626625032
