ensemble,test_macro_f1,best_single,delta_vs_best_single
stacking_LR,0.811539670662671,0.803831146337239,0.007708524325432009
soft_vote_all,0.8091033420969942,0.803831146337239,0.005272195759755238
hard_vote_all,0.8090962472153995,0.803831146337239,0.005265100878160567
soft_vote_top5,0.800626887526311,0.803831146337239,-0.003204258810928007
soft_vote_top3,0.7982813214972088,0.803831146337239,-0.005549824840030193
