system,source,target,in_domain,seeds,threshold,macro_f1_argmax,macro_f1_recalibrated,delta_macro_f1,recall_class_1_argmax,recall_class_1_recalibrated
fgm,banglasarc3_binary,banglasarc3_binary,True,5,0.526,0.7639219761651095,0.7663442582998738,0.0024222821347643863,0.769620253164557,0.7473417721518987
fgm,banglasarc3_binary,banglasarc_binary,False,5,0.526,0.5986958416514534,0.5959363916157733,-0.002759450035680122,0.5566265060240964,0.5168674698795181
fgm,banglasarc3_binary,ben_sarc_binary,False,5,0.526,0.6640085953361528,0.6651543246066234,0.0011457292704706746,0.7187207488299532,0.6926677067082683
fgm,banglasarc_binary,banglasarc3_binary,False,5,0.4419999999999999,0.3361419236526646,0.3371371556138022,0.0009952319611375659,0.010230179028132993,0.011253196930946292
fgm,banglasarc_binary,banglasarc_binary,True,5,0.4419999999999999,0.9788149295200255,0.977888917773536,-0.0009260117464894524,0.9626506024096386,0.9638554216867469
fgm,banglasarc_binary,ben_sarc_binary,False,5,0.4419999999999999,0.3456355217988782,0.3462370647977513,0.0006015429988730725,0.014040561622464897,0.014820592823712949
fgm,ben_sarc_binary,banglasarc3_binary,False,5,0.4119999999999999,0.6541520678329695,0.6580806358339338,0.003928568000964305,0.6237974683544304,0.6648101265822784
fgm,ben_sarc_binary,banglasarc_binary,False,5,0.4119999999999999,0.5929901896866256,0.6047534071801499,0.011763217493524315,0.44216867469879517,0.4855421686746988
fgm,ben_sarc_binary,ben_sarc_binary,True,5,0.4119999999999999,0.8011024091224709,0.801591739488478,0.0004893303660070015,0.7781591263650546,0.8126365054602184
vanilla,banglasarc3_binary,banglasarc3_binary,True,5,0.44799999999999995,0.7526506939036819,0.7516356073741366,-0.0010150865295452283,0.7529113924050633,0.7453164556962026
vanilla,banglasarc3_binary,banglasarc_binary,False,5,0.44799999999999995,0.6142558817099545,0.6156668691414472,0.0014109874314927051,0.5879518072289157,0.5867469879518072
vanilla,banglasarc3_binary,ben_sarc_binary,False,5,0.44799999999999995,0.6780665271653963,0.6809183978470579,0.0028518706816615057,0.729173166926677,0.7276131045241809
vanilla,banglasarc_binary,banglasarc3_binary,False,5,0.48599999999999993,0.3357034654601064,0.3348992700075226,-0.0008041954525837336,0.010230179028132993,0.009718670076726343
vanilla,banglasarc_binary,banglasarc_binary,True,5,0.48599999999999993,0.9770062097882437,0.9774831841652597,0.00047697437701581523,0.9686746987951806,0.9698795180722891
vanilla,banglasarc_binary,ben_sarc_binary,False,5,0.48599999999999993,0.3471835912037336,0.34757366524180966,0.0003900740380760381,0.01622464898595944,0.01669266770670827
vanilla,ben_sarc_binary,banglasarc3_binary,False,5,0.46399999999999986,0.6455392429372093,0.6466842891230873,0.0011450461858779847,0.6141772151898734,0.6435443037974683
vanilla,ben_sarc_binary,banglasarc_binary,False,5,0.46399999999999986,0.5803204339554787,0.5938435263199975,0.013523092364518718,0.4337349397590361,0.4831325301204819
vanilla,ben_sarc_binary,ben_sarc_binary,True,5,0.46399999999999986,0.7960294848035263,0.7973382761673123,0.0013087913637860548,0.7675507020280812,0.7975039001560063
