run_id,system,architecture,adversarial,fgm_epsilon,model_name,source,target,seed,in_domain,n_train,n_val,n_eval_total,n_removed_train_seen,n_removed_all_source,n_eval_clean,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_weighted_f1,test_precision_macro,test_recall_macro,test_recall_class_0,test_recall_class_1,temperature,ece,ece_temperature_scaled,brier,brier_temperature_scaled,confusion_matrix,train_seconds,best_checkpoint,prediction_path,tag,n_sources,source_corpora,held_out,config_hash
18_vanilla_ben_sarc_binary_seed123,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,ben_sarc_binary,banglasarc_binary,123,False,20498.0,2562.0,464,0,0,464,0.7964593929625499,0.7966432474629196,0.5933601402206413,0.6336206896551724,0.629760089024464,0.5959851551956815,0.5920190830435837,0.738255033557047,0.4457831325301205,1.251751159145164,0.1869084202721422,0.151923649256576,0.5126245327719195,0.4854873829339254,"[[220, 78], [92, 74]]",119.75155258178712,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/ben_sarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_ben_sarc_binary_seed123_to_banglasarc_binary.csv,NB18,1,"[""ben_sarc_binary""]",True,
18_vanilla_ben_sarc_binary_seed123,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,ben_sarc_binary,banglasarc3_binary,123,False,20498.0,2562.0,791,0,0,791,0.7964593929625499,0.7966432474629196,0.6526698717948718,0.6536030341340076,0.6526926318519239,0.6551653960460008,0.6535385500575375,0.7045454545454546,0.6025316455696202,1.251751159145164,0.1771058914899307,0.1384405828056021,0.5017217641402548,0.4759111603522928,"[[279, 117], [157, 238]]",119.75155258178712,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/ben_sarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_ben_sarc_binary_seed123_to_banglasarc3_binary.csv,NB18,1,"[""ben_sarc_binary""]",True,
18_vanilla_ben_sarc_binary_seed2024,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,ben_sarc_binary,ben_sarc_binary,2024,True,20498.0,2562.0,2563,0,0,2563,0.7893699488487329,0.7903981264637002,0.7794225562620212,0.7807257120561841,0.7794159412579899,0.7875864813414868,0.7807558203967503,0.8579234972677595,0.7035881435257411,1.3138853035355904,0.0606359514086789,0.0251572185589345,0.3070129083773779,0.2994441151807508,"[[1099, 182], [380, 902]]",117.33515906333923,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/ben_sarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_ben_sarc_binary_seed2024_to_ben_sarc_binary.csv,NB18,1,"[""ben_sarc_binary""]",False,
18_vanilla_ben_sarc_binary_seed2024,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,ben_sarc_binary,banglasarc_binary,2024,False,20498.0,2562.0,464,0,0,464,0.7893699488487329,0.7903981264637002,0.5352804342207289,0.5991379310344828,0.5842873503801214,0.5431576970038509,0.5371553327403573,0.7550335570469798,0.3192771084337349,1.3138853035355904,0.2422613286478855,0.1994161375300805,0.5704942272724551,0.5270194509422267,"[[225, 73], [113, 53]]",117.33515906333923,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/ben_sarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_ben_sarc_binary_seed2024_to_banglasarc_binary.csv,NB18,1,"[""ben_sarc_binary""]",True,
18_vanilla_ben_sarc_binary_seed2024,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,ben_sarc_binary,banglasarc3_binary,2024,False,20498.0,2562.0,791,0,0,791,0.7893699488487329,0.7903981264637002,0.6281793712732939,0.6308470290771175,0.6282191870614107,0.6345445334807036,0.6307409538422197,0.7146464646464646,0.5468354430379747,1.3138853035355904,0.2075373827585095,0.1632441943172975,0.5437999599253995,0.506329960459072,"[[283, 113], [179, 216]]",117.33515906333923,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/ben_sarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_ben_sarc_binary_seed2024_to_banglasarc3_binary.csv,NB18,1,"[""ben_sarc_binary""]",True,
18_vanilla_banglasarc_binary_seed42,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,ben_sarc_binary,42,False,3708.0,463.0,2563,0,0,2563,0.9744061348891668,0.976241900647948,0.3484234939492279,0.4982442450253609,0.3483015893511187,0.4802714211316362,0.4984314126663427,0.9781420765027322,0.0187207488299532,1.5025877776422452,0.4975183903347545,0.4858410014295814,0.9954003949663832,0.9729411009099944,"[[1253, 28], [1258, 24]]",43.6186637878418,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed42_to_ben_sarc_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed42,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc_binary,42,True,3708.0,463.0,464,0,0,464,0.9744061348891668,0.976241900647948,0.9718605967494138,0.9741379310344828,0.9741379310344828,0.9718605967494138,0.9718605967494138,0.9798657718120806,0.963855421686747,1.5025877776422452,0.0241742882208274,0.0108451148191096,0.0486041462438421,0.0455433567246704,"[[292, 6], [6, 160]]",43.6186637878418,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed42_to_banglasarc_binary.csv,NB18,1,"[""banglasarc_binary""]",False,
18_vanilla_banglasarc_binary_seed42,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc3_binary,42,False,3708.0,463.0,791,25,29,762,0.9744061348891668,0.976241900647948,0.3432195898161245,0.4881889763779528,0.3351207414048491,0.5128889801786998,0.5008651532803442,0.9838274932614556,0.0179028132992327,1.5025877776422452,0.5093006945721344,0.497784695999849,1.0166905646479638,0.9940428745509688,"[[365, 6], [384, 7]]",43.6186637878418,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed42_to_banglasarc3_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed1,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,ben_sarc_binary,1,False,3708.0,463.0,2563,0,0,2563,0.9835872972466564,0.9848812095032398,0.3423593061848574,0.4962934061646508,0.3422351657816479,0.4441306744550395,0.4964822480487041,0.9804839968774396,0.0124804992199688,1.5406407396166035,0.5018111763943316,0.4927401906986808,1.0027826996787332,0.9856104185793354,"[[1256, 25], [1266, 16]]",58.00122714042664,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed1_to_ben_sarc_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed1,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc_binary,1,True,3708.0,463.0,464,0,0,464,0.9835872972466564,0.9848812095032398,0.9742397860044918,0.976293103448276,0.976308777627236,0.973618419726204,0.9748726449421848,0.9798657718120806,0.9698795180722892,1.5406407396166035,0.0194472745730019,0.0107237504362976,0.0393452200424693,0.0379789951971728,"[[292, 6], [5, 161]]",58.00122714042664,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed1_to_banglasarc_binary.csv,NB18,1,"[""banglasarc_binary""]",False,
18_vanilla_banglasarc_binary_seed1,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc3_binary,1,False,3708.0,463.0,791,25,29,762,0.9835872972466564,0.9848812095032398,0.3340872873078702,0.4868766404199475,0.3257152679592632,0.4933862433862434,0.4997931904509137,0.9919137466307276,0.0076726342710997,1.5406407396166035,0.5121571121859003,0.5045327763485303,1.0218306905781267,1.0054071185359432,"[[368, 3], [388, 3]]",58.00122714042664,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed1_to_banglasarc3_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed7,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,ben_sarc_binary,7,False,3708.0,463.0,2563,0,0,2563,0.9812671953390516,0.9827213822894167,0.350388697425178,0.5009754194303551,0.3502666660459194,0.5161561749484153,0.501163348641674,0.9828259172521469,0.0195007800312012,0.608362544281177,0.4537222769292074,0.4886071003707218,0.9148168150623138,0.9785353991619165,"[[1259, 22], [1257, 25]]",22.306240797042847,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed7_to_ben_sarc_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed7,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc_binary,7,True,3708.0,463.0,464,0,0,464,0.9812671953390516,0.9827213822894167,0.9695561107325812,0.9719827586206896,0.97200128265037,0.9689409060666544,0.9701827444004204,0.976510067114094,0.963855421686747,0.608362544281177,0.0443575776948649,0.017324959779184,0.0481112787743878,0.0487172944756659,"[[291, 7], [6, 160]]",22.306240797042847,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed7_to_banglasarc_binary.csv,NB18,1,"[""banglasarc_binary""]",False,
18_vanilla_banglasarc_binary_seed7,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc3_binary,7,False,3708.0,463.0,791,25,29,762,0.9812671953390516,0.9827213822894167,0.342574388508258,0.4868766404199475,0.334490228737295,0.4933155080213903,0.4995174443854654,0.981132075471698,0.0179028132992327,0.608362544281177,0.4671004199020514,0.5031271838004493,0.9377066404925788,1.0059679160797903,"[[364, 7], [384, 7]]",22.306240797042847,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed7_to_banglasarc3_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed123,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,ben_sarc_binary,123,False,3708.0,463.0,2563,0,0,2563,0.9836719682809972,0.9848812095032398,0.343006458082034,0.4962934061646508,0.3428826398687201,0.4466823551125877,0.496481943586877,0.9797033567525372,0.0132605304212168,1.1632404701249506,0.4967576286150311,0.4924818124653767,0.9950819167725756,0.9869619853104512,"[[1255, 26], [1265, 17]]",36.369274616241455,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed123_to_ben_sarc_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed123,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc_binary,123,True,3708.0,463.0,464,0,0,464,0.9836719682809972,0.9848812095032398,0.9695561107325812,0.9719827586206896,0.97200128265037,0.9689409060666544,0.9701827444004204,0.976510067114094,0.963855421686747,1.1632404701249506,0.022011495667831,0.0169542493688496,0.045907764988838,0.044980982581323,"[[291, 7], [6, 160]]",36.369274616241455,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed123_to_banglasarc_binary.csv,NB18,1,"[""banglasarc_binary""]",False,
18_vanilla_banglasarc_binary_seed123,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc3_binary,123,False,3708.0,463.0,791,25,29,762,0.9836719682809972,0.9848812095032398,0.3362472848788638,0.4868766404199475,0.3279481468325231,0.493368700265252,0.4997242539345516,0.9892183288409704,0.0102301790281329,1.1632404701249506,0.5074200690409618,0.5032295231765422,1.013673821844792,1.005364562056593,"[[367, 4], [387, 4]]",36.369274616241455,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed123_to_banglasarc3_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed2024,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,ben_sarc_binary,2024,False,3708.0,463.0,2563,0,0,2563,0.985875533862111,0.9870410367170628,0.3467017160149827,0.4986344127975029,0.3465787931211457,0.4829361927455652,0.4988226461142754,0.981264637002342,0.016380655226209,1.1550566106601114,0.4963903909822822,0.4931223535246858,0.9927200929064884,0.986467450893483,"[[1257, 24], [1261, 21]]",36.27100729942322,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed2024_to_ben_sarc_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc_binary_seed2024,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc_binary,2024,True,3708.0,463.0,464,0,0,464,0.985875533862111,0.9870410367170628,0.9788096675817344,0.980603448275862,0.9805635864826592,0.980830768603632,0.9768941537963935,0.9899328859060402,0.963855421686747,1.1550566106601114,0.0142200150984111,0.0113510267598206,0.0317831478246714,0.0310096099060904,"[[295, 3], [6, 160]]",36.27100729942322,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed2024_to_banglasarc_binary.csv,NB18,1,"[""banglasarc_binary""]",False,
18_vanilla_banglasarc_binary_seed2024,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc_binary,banglasarc3_binary,2024,False,3708.0,463.0,791,25,29,762,0.985875533862111,0.9870410367170628,0.3306810841738951,0.484251968503937,0.3222662411969065,0.4093915343915344,0.4971667091775184,0.9892183288409704,0.0051150895140664,1.1550566106601114,0.5129997161967993,0.509395284419035,1.0235490224073749,1.0169072192747972,"[[367, 4], [389, 2]]",36.27100729942322,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc_binary_seed2024_to_banglasarc3_binary.csv,NB18,1,"[""banglasarc_binary""]",True,
18_vanilla_banglasarc3_binary_seed42,vanilla,BanglaBERT standard classification head,False,,csebuetnlp/banglabert,banglasarc3_binary,ben_sarc_binary,42,False,6328.0,791.0,2563,0,0,2563,0.7736983849184468,0.7737041719342604,0.6695372938702107,0.6699180647678502,0.669541670547195,0.6706825466735178,0.6699049226606066,0.6362217017954723,0.7035881435257411,1.2991432076255849,0.115300656172125,0.0732439771324136,0.4537210273278078,0.4346706302031446,"[[815, 466], [380, 902]]",43.25741720199585,/workspace/Sarcasm_detection/03_checkpoints/18_multiseed_cross_corpus/vanilla/banglasarc3_binary/best_by_validation,04_outputs/predictions/18_multiseed_cross_corpus/18_vanilla_banglasarc3_binary_seed42_to_ben_sarc_binary.csv,NB18,1,"[""banglasarc3_binary""]",True,
