task,model,model_name,num_labels,n_train,n_val,n_test,epochs,batch,lr,max_length,time_seconds,leak_train_val,leak_train_test,leak_val_test,val_accuracy,val_macro_f1,val_weighted_f1,val_binary_f1,val_precision,val_recall,test_accuracy,test_macro_f1,test_weighted_f1,test_binary_f1,test_precision,test_recall
ben_sarc_binary,banglabert,csebuetnlp/banglabert,2,20498,2562,2563,4,32,2e-05,128,249.7,0,0,0,0.7993754879000781,0.7989913452291912,0.7989913452291911,0.7902040816326531,0.8280581693755347,0.7556596409055425,0.8029652750682793,0.8024879244045522,0.8024841359072211,0.7927780057447682,0.8363636363636363,0.7535101404056163
banglasarc_binary,banglabert,csebuetnlp/banglabert,2,3708,463,464,4,32,2e-05,128,61.4,0,0,0,0.9848812095032398,0.9836300729853271,0.9849105330153783,0.9791044776119403,0.9704142011834319,0.9879518072289156,0.978448275862069,0.976550497291178,0.978448275862069,0.9698795180722891,0.9698795180722891,0.9698795180722891
banglasarc3_binary,banglabert,csebuetnlp/banglabert,2,6328,791,791,4,32,2e-05,128,92.4,0,0,0,0.7648546144121365,0.7647910831446878,0.7647861961241149,0.7686567164179104,0.7555012224938875,0.7822784810126582,0.7534766118836915,0.7534372047744416,0.7534332640635167,0.7565543071161048,0.7463054187192119,0.7670886075949367
banglasarc3_ternary,banglabert,csebuetnlp/banglabert,3,9528,1191,1192,4,32,2e-05,128,124.2,0,0,0,0.635600335852225,0.6383238247916379,0.6384214553442126,,,,0.6317114093959731,0.6330635116563523,0.6330335851119208,,,
